team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2024,MIN,MIN,Team Level,other,81,0.5,0.43,0.43,9875.0,122.99,35.51,8.24,19.44,4.08,64.14,38.59,31.05,35.51,31.05,116.0,54.0,53.0,223.0,40.0,9.0,1.0,8.0,0.0,61.0,52.0,76.0,130.0,3.0,6.0,111.0,14.0,11.0,30.0,78.0,33.0,59.0,3.12,4.3,28.09,4.0,7.0,29.0,223.0,170.0,170.0,10.0,2.53,3.57,3.57,34.47,34.47,31.51,161.08,35.83,11.52,28.34,5.29,89.25,50.76,31.62,35.83,31.62,156.0,65.0,75.0,296.0,32.0,18.0,2.0,17.0,0.0,76.0,78.0,124.0,189.0,7.0,16.0,113.0,24.0,11.0,25.0,104.0,58.0,59.0,4.4,7.49,23.95,7.0,7.0,18.0,296.0,221.0,221.0,11.0,3.33,5.91,5.91,33.25,33.25,30.33
MIN,2024,MIN,MIN,Team Level,all,81,0.5,0.48,0.48,294702.0,2390.4,233.94,159.14,571.88,80.63,1309.91,957.51,220.58,235.01,221.57,2224.0,1089.0,1260.0,4573.0,222.0,245.0,23.0,399.0,8.0,1043.0,1396.0,2002.0,3091.0,251.0,586.0,2051.0,1623.0,406.0,1207.0,2477.0,585.0,251.0,67.66,72.86,93.42,80.0,72.0,70.0,4584.93,3313.0,3325.14,573.0,35.3,53.08,53.08,216.17,216.86,210.32,2596.14,235.56,171.4,633.41,87.51,1446.84,1024.33,223.81,236.7,224.9,2399.0,1201.0,1439.0,5039.0,234.0,228.0,31.0,494.0,6.0,1115.0,1523.0,2165.0,3366.0,248.0,576.0,2345.0,1587.0,344.0,1216.0,2741.0,607.0,252.0,76.31,74.46,84.8,82.0,81.0,71.0,5052.43,3600.0,3610.66,532.0,37.89,49.18,49.23,224.16,225.03,218.1
MIN,2024,MIN,MIN,Team Level,5on5,81,0.49,0.48,0.48,246098.0,1914.56,151.27,120.99,479.18,64.9,1050.57,794.09,145.43,152.35,146.42,1762.0,899.0,1067.0,3728.0,140.0,189.0,16.0,345.0,6.0,825.0,1156.0,1622.0,2521.0,232.0,544.0,1650.0,1556.0,355.0,1088.0,2063.0,469.0,129.0,56.12,57.69,37.45,68.0,54.0,18.0,3739.93,2661.0,2673.14,533.0,25.04,38.07,38.52,137.81,138.49,136.51,2061.64,155.99,129.77,525.98,69.43,1144.1,835.78,150.48,157.13,151.57,1873.0,989.0,1228.0,4090.0,146.0,175.0,22.0,413.0,5.0,874.0,1249.0,1727.0,2716.0,219.0,516.0,1851.0,1500.0,293.0,1102.0,2268.0,450.0,144.0,61.12,55.17,39.71,63.0,57.0,26.0,4103.43,2862.0,2872.66,494.0,26.72,34.25,34.37,148.29,149.16,146.72
MIN,2024,MIN,MIN,Team Level,4on5,81,0.08,0.09,0.11,18733.0,41.14,3.37,1.82,6.8,1.25,12.31,28.45,3.26,3.37,3.26,45.0,9.0,6.0,60.0,3.0,2.0,0.0,3.0,0.0,7.0,39.0,42.0,51.0,9.0,22.0,141.0,34.0,14.0,27.0,46.0,4.0,4.0,1.24,0.7,1.43,1.0,0.0,2.0,60.0,54.0,54.0,20.0,0.43,0.67,0.67,3.13,3.13,3.1,321.72,40.05,27.67,71.13,11.11,196.52,99.52,38.13,40.05,38.13,313.0,133.0,127.0,573.0,52.0,35.0,7.0,61.0,1.0,154.0,143.0,261.0,394.0,15.0,30.0,204.0,13.0,15.0,62.0,310.0,91.0,45.0,9.11,10.77,20.16,11.0,14.0,27.0,573.0,446.0,446.0,5.0,7.27,9.02,8.96,38.36,38.36,36.92
MIN,2024,MIN,MIN,Team Level,5on4,81,0.92,0.88,0.86,19996.0,311.71,43.78,28.09,66.46,10.41,182.88,96.39,40.82,43.78,40.82,301.0,127.0,134.0,562.0,39.0,45.0,6.0,43.0,2.0,150.0,149.0,262.0,389.0,7.0,14.0,149.0,19.0,26.0,62.0,290.0,79.0,59.0,7.17,10.17,26.45,7.0,11.0,21.0,562.0,428.0,428.0,10.0,7.3,10.77,10.32,40.76,40.76,39.2,51.7,3.69,2.44,7.96,1.68,16.97,38.26,3.57,3.69,3.57,57.0,14.0,9.0,80.0,4.0,0.0,0.0,3.0,0.0,11.0,53.0,53.0,67.0,7.0,14.0,177.0,50.0,25.0,27.0,59.0,8.0,4.0,1.68,1.02,0.98,1.0,3.0,0.0,80.0,71.0,71.0,22.0,0.58,0.0,0.0,4.26,4.26,4.13
LAK,2024,LAK,LAK,Team Level,other,79,0.54,0.49,0.47,10837.0,121.87,33.29,8.61,22.22,4.17,64.1,39.62,31.9,33.29,31.9,113.0,59.0,74.0,246.0,34.0,9.0,1.0,13.0,0.0,65.0,51.0,79.0,138.0,6.0,10.0,108.0,23.0,20.0,29.0,84.0,40.0,48.0,3.52,4.99,24.77,5.0,2.0,27.0,246.0,172.0,172.0,13.0,2.42,1.83,1.83,33.87,33.87,32.47,140.45,28.6,10.34,26.26,4.8,77.0,45.0,26.8,28.6,26.8,130.0,62.0,68.0,260.0,36.0,18.0,4.0,15.0,1.0,61.0,61.0,94.0,156.0,2.0,4.0,119.0,30.0,22.0,26.0,106.0,45.0,41.0,3.78,5.4,19.42,7.0,11.0,18.0,260.0,192.0,192.0,9.0,3.08,4.55,4.55,27.14,27.14,26.18
LAK,2024,LAK,LAK,Team Level,all,79,0.54,0.53,0.53,287001.0,2533.69,241.0,169.38,623.88,85.97,1369.78,999.99,230.52,243.02,232.46,2212.0,1278.0,1382.0,4872.0,237.0,271.0,33.0,466.0,9.0,1129.0,1378.0,1975.0,3253.0,265.0,590.0,2238.0,1670.0,348.0,1113.0,2608.0,611.0,271.0,72.48,76.25,92.26,96.0,67.0,74.0,4928.55,3490.0,3528.05,504.0,37.22,56.67,56.87,221.33,223.13,218.43,2248.91,207.11,150.98,547.57,75.79,1214.75,885.87,199.12,206.9,198.9,2009.0,1074.0,1261.0,4344.0,193.0,219.0,31.0,375.0,7.0,971.0,1318.0,1816.0,2890.0,233.0,519.0,2179.0,1764.0,371.0,1109.0,2308.0,566.0,209.0,63.26,70.65,73.2,76.0,65.0,52.0,4310.28,3083.0,3065.25,480.0,33.75,43.77,43.83,196.96,196.51,192.63
LAK,2024,LAK,LAK,Team Level,5on5,79,0.55,0.53,0.54,236142.0,2073.71,171.76,132.47,527.87,70.31,1120.34,835.24,165.05,173.79,166.99,1799.0,1059.0,1165.0,4023.0,170.0,218.0,31.0,396.0,8.0,920.0,1146.0,1629.0,2688.0,238.0,540.0,1753.0,1581.0,292.0,988.0,2198.0,485.0,175.0,60.4,60.77,50.59,83.0,53.0,34.0,4079.55,2858.0,2896.05,457.0,27.47,46.33,46.82,152.42,154.21,151.92,1778.12,138.98,111.91,452.23,59.99,960.82,724.14,134.67,138.77,134.45,1574.0,875.0,1071.0,3520.0,119.0,163.0,21.0,312.0,6.0,762.0,1087.0,1455.0,2330.0,209.0,469.0,1740.0,1680.0,309.0,996.0,1900.0,430.0,119.0,50.66,53.69,34.63,58.0,42.0,19.0,3486.28,2449.0,2431.25,440.0,23.2,31.03,31.29,130.83,130.38,128.74
LAK,2024,LAK,LAK,Team Level,4on5,79,0.14,0.14,0.15,21232.0,51.47,5.6,2.69,8.05,1.68,16.23,34.74,5.31,5.6,5.31,53.0,16.0,11.0,80.0,2.0,6.0,0.0,8.0,1.0,9.0,43.0,51.0,67.0,10.0,20.0,174.0,46.0,21.0,40.0,46.0,14.0,9.0,1.16,1.82,2.63,2.0,0.0,0.0,80.0,69.0,69.0,30.0,0.62,1.04,1.04,5.18,5.18,5.09,285.45,35.79,26.61,62.49,9.58,162.78,84.73,33.99,35.79,33.99,260.0,122.0,110.0,492.0,34.0,35.0,5.0,46.0,0.0,140.0,127.0,226.0,348.0,14.0,28.0,205.0,20.0,14.0,54.0,260.0,75.0,47.0,7.57,9.58,18.64,9.0,11.0,14.0,492.0,382.0,382.0,7.0,6.99,7.68,7.49,35.3,35.3,34.02
LAK,2024,LAK,LAK,Team Level,5on4,79,0.89,0.88,0.87,18790.0,286.64,30.34,25.61,65.74,9.82,169.12,90.38,28.25,30.34,28.25,247.0,144.0,132.0,523.0,31.0,38.0,1.0,49.0,0.0,135.0,138.0,216.0,360.0,11.0,20.0,203.0,20.0,15.0,56.0,280.0,72.0,39.0,7.4,8.67,14.27,6.0,12.0,13.0,523.0,391.0,391.0,4.0,6.7,7.47,7.17,29.86,29.86,28.94,44.87,3.73,2.12,6.6,1.42,14.15,31.99,3.66,3.73,3.66,45.0,15.0,12.0,72.0,4.0,3.0,1.0,2.0,0.0,8.0,43.0,41.0,56.0,8.0,18.0,115.0,34.0,26.0,33.0,42.0,16.0,2.0,1.25,1.97,0.51,2.0,1.0,1.0,72.0,60.0,60.0,24.0,0.49,0.52,0.52,3.7,3.7,3.68
