team,season,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,20242025,5on5,82,0.53,0.54,0.54,244320.0,2117.0,170.91,132.32,546.32,71.62,1164.71,854.12,165.62,172.02,166.69,1925.0,1015.0,1302.0,4242.0,165.0,193.0,24.0,396.0,5.0,951.0,1230.0,1760.0,2775.0,208.0,453.0,1755.0,1468.0,362.0,1092.0,2275.0,509.0,156.0,65.12,62.65,43.14,81.0,57.0,27.0,4264.06,2940.0,2951.7,464.0,27.37,38.75,38.81,159.48,160.56,158.17,1831.97,151.44,115.95,470.96,61.42,983.11,728.12,145.95,151.5,146.01,1666.0,845.0,1085.0,3596.0,155.0,189.0,29.0,394.0,2.0,743.0,1028.0,1511.0,2356.0,236.0,503.0,1984.0,1556.0,326.0,1125.0,1900.0,467.0,144.0,50.6,59.39,41.45,66.0,56.0,33.0,3588.36,2511.0,2510.6,527.0,24.0,38.64,38.35,137.1,137.28,135.49
CGY,20242025,5on5,80,0.49,0.52,0.52,238961.0,2038.61,154.87,125.52,539.68,70.67,1118.51,826.74,149.41,155.23,149.75,1872.0,964.0,1272.0,4108.0,133.0,185.0,20.0,455.0,6.0,872.0,1185.0,1739.0,2703.0,258.0,598.0,1753.0,1749.0,373.0,1103.0,2252.0,425.0,159.0,58.72,53.23,42.92,66.0,39.0,28.0,4085.95,2836.0,2832.22,533.0,25.95,35.35,35.75,145.07,145.17,142.97,1926.65,161.08,120.64,494.02,65.37,1039.49,780.47,155.8,162.55,157.21,1791.0,871.0,1157.0,3819.0,138.0,185.0,21.0,454.0,11.0,810.0,1064.0,1653.0,2524.0,274.0,622.0,2069.0,1527.0,366.0,1165.0,2039.0,478.0,145.0,58.07,60.65,42.36,56.0,63.0,19.0,3848.73,2662.0,2680.55,587.0,25.09,39.36,39.36,146.76,147.87,145.75
CAR,20242025,5on5,80,0.55,0.59,0.58,234049.0,2332.34,196.22,146.25,602.83,79.2,1256.75,925.75,188.99,197.73,190.46,1971.0,1236.0,1354.0,4561.0,170.0,255.0,20.0,429.0,8.0,1085.0,1260.0,1801.0,3037.0,225.0,480.0,1976.0,1278.0,385.0,1129.0,2399.0,621.0,187.0,67.32,77.55,51.36,72.0,73.0,25.0,4604.95,3207.0,3234.89,483.0,30.44,45.21,45.34,181.32,182.71,179.33,1717.54,157.72,112.34,421.54,57.88,906.07,675.44,150.93,157.81,151.01,1564.0,767.0,811.0,3142.0,160.0,186.0,22.0,305.0,8.0,664.0,1008.0,1404.0,2171.0,239.0,518.0,1730.0,1740.0,355.0,1165.0,1679.0,469.0,183.0,48.38,58.21,51.13,66.0,62.0,32.0,3131.77,2331.0,2330.25,583.0,23.39,41.06,41.06,140.05,140.28,137.87
UTA,20242025,5on5,80,0.53,0.53,0.53,238190.0,2121.23,180.93,130.63,541.23,71.78,1142.02,837.48,173.35,181.64,174.05,1852.0,1053.0,1187.0,4092.0,153.0,215.0,22.0,389.0,8.0,978.0,1162.0,1699.0,2752.0,258.0,617.0,1852.0,1363.0,325.0,1229.0,2174.0,553.0,178.0,63.69,67.77,49.46,66.0,62.0,25.0,4116.96,2905.0,2924.14,584.0,27.09,42.41,42.44,165.51,166.21,163.3,1858.78,159.23,112.02,475.4,62.73,979.8,745.81,154.28,159.7,154.75,1686.0,849.0,1066.0,3601.0,146.0,171.0,24.0,364.0,4.0,852.0,998.0,1540.0,2389.0,253.0,585.0,1789.0,1781.0,337.0,1057.0,1900.0,481.0,154.0,55.39,59.51,44.34,64.0,52.0,30.0,3599.73,2535.0,2535.38,502.0,23.27,36.9,36.94,145.57,146.1,144.1
CHI,20242025,5on5,80,0.43,0.44,0.44,243771.0,1707.35,141.54,108.61,426.04,56.81,921.16,688.83,136.97,141.37,136.85,1606.0,737.0,922.0,3265.0,148.0,168.0,20.0,318.0,4.0,673.0,1032.0,1458.0,2195.0,236.0,542.0,1529.0,1428.0,352.0,1036.0,1785.0,412.0,146.0,48.82,51.32,41.41,73.0,53.0,22.0,3227.59,2343.0,2325.49,515.0,22.42,32.55,32.55,131.42,131.32,129.62,2184.14,186.81,143.77,543.99,73.76,1194.33,874.34,179.46,189.12,181.66,2011.0,1006.0,1131.0,4148.0,204.0,235.0,25.0,399.0,5.0,919.0,1255.0,1807.0,2813.0,199.0,456.0,1891.0,1606.0,335.0,1027.0,2287.0,534.0,196.0,66.4,67.93,52.48,98.0,77.0,29.0,4200.29,3017.0,3053.49,469.0,29.79,45.17,45.17,171.43,173.23,170.0
CBJ,20242025,5on5,80,0.48,0.48,0.49,244762.0,2019.58,171.59,127.01,516.32,69.13,1067.17,810.77,162.29,171.76,162.5,1856.0,906.0,1121.0,3883.0,193.0,235.0,27.0,426.0,6.0,828.0,1074.0,1663.0,2569.0,238.0,561.0,1740.0,1567.0,334.0,1100.0,2106.0,460.0,196.0,56.22,57.2,58.18,81.0,83.0,29.0,3883.13,2762.0,2763.45,528.0,26.36,51.78,51.78,146.18,146.27,143.25,2102.69,183.87,135.36,528.63,71.28,1137.13,834.73,176.33,184.99,177.33,1887.0,1004.0,1233.0,4124.0,178.0,245.0,24.0,358.0,7.0,910.0,1193.0,1709.0,2713.0,210.0,514.0,1924.0,1499.0,329.0,1101.0,2173.0,530.0,188.0,61.91,66.88,55.08,86.0,66.0,26.0,4143.93,2891.0,2910.36,520.0,28.05,51.28,51.35,160.58,161.51,158.64
NJD,20242025,5on5,80,0.51,0.51,0.5,238704.0,1950.39,168.22,125.36,494.32,66.32,1041.19,767.59,161.79,169.74,163.2,1712.0,951.0,1185.0,3848.0,146.0,210.0,22.0,382.0,2.0,816.0,1107.0,1566.0,2517.0,245.0,557.0,1730.0,1757.0,285.0,1088.0,2002.0,477.0,184.0,56.96,59.73,51.53,72.0,45.0,29.0,3883.56,2663.0,2687.33,546.0,26.07,41.0,41.56,152.74,153.99,151.55,1923.44,158.79,121.78,494.01,65.79,1044.0,776.62,153.14,158.84,153.13,1684.0,977.0,1023.0,3684.0,146.0,189.0,19.0,383.0,5.0,791.0,1147.0,1538.0,2515.0,234.0,531.0,1776.0,1622.0,310.0,1055.0,2028.0,484.0,149.0,56.6,60.74,41.46,66.0,60.0,20.0,3654.99,2661.0,2643.64,499.0,25.27,37.07,36.67,147.38,146.87,144.7
TBL,20242025,5on5,80,0.51,0.5,0.5,241251.0,1974.12,171.41,129.19,490.32,65.86,1068.95,791.25,164.76,173.9,167.14,1778.0,939.0,1091.0,3808.0,183.0,183.0,24.0,423.0,4.0,868.0,1056.0,1595.0,2534.0,224.0,514.0,1869.0,1342.0,303.0,1041.0,2033.0,515.0,169.0,59.9,64.56,46.96,82.0,76.0,25.0,3890.55,2717.0,2760.05,470.0,26.88,37.76,37.89,160.41,162.63,159.83,1970.66,164.13,125.44,503.98,66.65,1059.09,784.72,156.59,162.25,154.88,1841.0,863.0,1058.0,3762.0,140.0,193.0,12.0,434.0,7.0,792.0,1138.0,1701.0,2564.0,241.0,547.0,1866.0,1841.0,335.0,1043.0,2054.0,490.0,160.0,59.03,59.26,45.84,74.0,50.0,16.0,3690.18,2704.0,2671.31,508.0,26.05,39.05,39.09,151.08,149.68,147.16
BOS,20242025,5on5,81,0.48,0.48,0.47,240744.0,1828.84,153.13,114.89,458.95,61.33,978.8,733.89,147.02,153.64,147.43,1639.0,862.0,1072.0,3573.0,150.0,171.0,16.0,355.0,5.0,742.0,1078.0,1489.0,2351.0,271.0,643.0,1845.0,2025.0,369.0,1174.0,1900.0,438.0,163.0,50.89,54.92,47.32,58.0,72.0,20.0,3556.35,2501.0,2499.39,595.0,23.82,36.89,37.17,139.78,140.08,138.03,1996.53,162.73,124.55,513.16,68.0,1093.27,807.29,156.99,164.39,158.53,1796.0,973.0,1127.0,3896.0,163.0,191.0,18.0,429.0,6.0,875.0,1105.0,1633.0,2606.0,272.0,635.0,1733.0,1681.0,372.0,1167.0,2142.0,477.0,150.0,59.52,60.42,42.79,85.0,58.0,20.0,3934.39,2769.0,2797.45,529.0,25.8,39.04,39.05,149.48,150.63,148.32
DAL,20242025,5on5,80,0.5,0.5,0.48,235936.0,1929.92,172.26,121.66,494.28,66.38,1023.6,757.83,166.4,173.76,167.86,1754.0,882.0,1153.0,3789.0,178.0,214.0,24.0,360.0,6.0,833.0,1045.0,1576.0,2458.0,208.0,448.0,1960.0,1134.0,313.0,1173.0,1917.0,561.0,158.0,58.09,71.35,42.83,74.0,73.0,31.0,3836.69,2636.0,2666.13,563.0,25.28,38.17,38.75,158.79,160.21,157.69,2050.43,172.61,126.81,524.6,68.74,1091.07,819.18,166.28,171.52,165.25,1841.0,962.0,1049.0,3852.0,148.0,194.0,25.0,425.0,8.0,860.0,1168.0,1693.0,2655.0,232.0,511.0,1744.0,1933.0,362.0,1095.0,2124.0,496.0,183.0,61.33,59.47,51.82,57.0,57.0,34.0,3804.07,2803.0,2773.28,494.0,26.3,38.93,39.16,159.76,158.61,156.18
BUF,20242025,5on5,80,0.47,0.5,0.49,233776.0,1920.9,153.57,124.05,489.37,64.23,1054.1,772.68,148.12,154.14,148.66,1697.0,961.0,1059.0,3717.0,182.0,180.0,21.0,373.0,6.0,789.0,1128.0,1515.0,2476.0,270.0,618.0,1725.0,1565.0,315.0,1039.0,2077.0,437.0,144.0,59.04,54.43,40.1,100.0,60.0,22.0,3717.34,2658.0,2660.24,506.0,25.64,37.35,36.94,142.28,142.7,140.51,1982.74,172.03,127.84,503.81,66.55,1069.48,789.28,165.48,171.76,165.24,1774.0,955.0,1037.0,3766.0,179.0,223.0,36.0,372.0,9.0,879.0,1067.0,1595.0,2550.0,262.0,597.0,1859.0,1654.0,358.0,1043.0,2032.0,517.0,180.0,57.89,65.38,48.76,74.0,70.0,35.0,3754.39,2729.0,2728.12,486.0,26.56,44.0,44.36,154.23,154.1,151.68
NYR,20242025,5on5,80,0.48,0.49,0.49,237341.0,2006.81,167.67,127.04,509.59,67.1,1079.76,804.84,161.01,169.31,162.48,1790.0,966.0,1047.0,3803.0,173.0,202.0,27.0,379.0,7.0,838.0,1157.0,1617.0,2583.0,248.0,556.0,1843.0,1909.0,322.0,1057.0,2101.0,489.0,166.0,58.21,61.73,47.73,88.0,60.0,25.0,3827.61,2756.0,2776.56,528.0,26.39,40.87,40.88,153.17,154.54,151.81,2099.08,179.62,134.32,526.36,70.0,1119.19,832.49,172.69,180.07,173.17,1910.0,952.0,1096.0,3958.0,170.0,213.0,23.0,346.0,4.0,846.0,1283.0,1740.0,2692.0,229.0,511.0,1620.0,1486.0,326.0,1135.0,2134.0,534.0,194.0,60.2,65.87,53.56,74.0,73.0,23.0,3961.28,2862.0,2864.49,518.0,27.88,43.42,43.7,163.81,164.2,161.77
