team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2024,NYR,NYR,Team Level,other,81,0.46,0.55,0.52,10230.0,146.12,34.41,10.77,27.1,5.18,80.06,42.48,30.72,34.41,30.72,117.0,83.0,89.0,289.0,24.0,17.0,2.0,17.0,1.0,80.0,61.0,93.0,176.0,5.0,13.0,118.0,22.0,20.0,42.0,100.0,47.0,53.0,3.51,6.01,24.88,4.0,5.0,15.0,289.0,200.0,200.0,14.0,3.15,6.57,6.74,30.82,30.82,28.64,135.54,39.67,8.94,24.73,4.38,65.84,41.45,37.29,39.67,37.29,118.0,67.0,53.0,238.0,34.0,12.0,1.0,14.0,0.0,64.0,61.0,84.0,151.0,7.0,17.0,96.0,20.0,15.0,38.0,79.0,48.0,58.0,3.08,6.08,30.52,4.0,4.0,26.0,238.0,185.0,185.0,16.0,2.61,3.7,3.7,38.58,38.58,36.8
NYR,2024,NYR,NYR,Team Level,all,81,0.48,0.5,0.5,293387.0,2600.08,256.69,173.56,628.91,87.24,1404.29,1019.29,241.84,258.43,243.41,2322.0,1248.0,1323.0,4893.0,251.0,266.0,36.0,480.0,8.0,1128.0,1437.0,2071.0,3319.0,275.0,613.0,2408.0,2021.0,399.0,1224.0,2639.0,640.0,291.0,73.91,80.4,102.39,106.0,77.0,68.0,4918.58,3570.0,3591.2,591.0,38.68,57.79,57.79,237.58,239.03,231.29,2662.98,274.75,179.81,641.07,88.31,1412.96,1024.11,261.94,275.12,262.33,2424.0,1197.0,1322.0,4943.0,255.0,282.0,30.0,422.0,5.0,1104.0,1553.0,2169.0,3366.0,256.0,568.0,2089.0,1594.0,377.0,1310.0,2584.0,710.0,327.0,73.47,88.32,112.96,87.0,92.0,76.0,4944.96,3621.0,3622.66,586.0,39.81,59.53,59.53,255.03,255.36,248.82
NYR,2024,NYR,NYR,Team Level,5on5,81,0.48,0.49,0.49,240601.0,2025.22,169.53,128.36,514.41,67.69,1089.29,811.72,162.86,171.28,164.43,1811.0,970.0,1064.0,3845.0,177.0,203.0,28.0,385.0,7.0,846.0,1163.0,1634.0,2604.0,250.0,560.0,1872.0,1918.0,327.0,1067.0,2119.0,493.0,169.0,58.64,62.22,48.68,88.0,62.0,27.0,3870.58,2781.0,2802.2,532.0,26.67,41.38,41.4,154.81,156.27,153.53,2132.38,182.38,136.55,535.53,71.18,1137.77,845.58,175.33,182.74,175.73,1939.0,970.0,1112.0,4021.0,172.0,216.0,23.0,352.0,4.0,864.0,1301.0,1767.0,2737.0,231.0,515.0,1650.0,1513.0,332.0,1152.0,2169.0,543.0,197.0,61.08,67.05,54.25,74.0,74.0,24.0,4022.96,2909.0,2910.66,522.0,28.34,43.96,44.23,166.49,166.81,164.29
NYR,2024,NYR,NYR,Team Level,4on5,81,0.14,0.18,0.2,22918.0,88.04,7.67,4.39,13.62,2.79,28.15,60.37,7.58,7.67,7.58,92.0,25.0,12.0,129.0,15.0,5.0,0.0,5.0,0.0,17.0,75.0,77.0,102.0,10.0,20.0,218.0,60.0,29.0,45.0,86.0,22.0,9.0,2.39,2.62,2.65,8.0,5.0,2.0,129.0,117.0,117.0,36.0,1.02,0.84,0.84,7.84,7.84,7.78,344.3,47.49,31.85,73.71,11.23,193.79,101.94,44.2,47.49,44.2,317.0,143.0,139.0,599.0,42.0,50.0,5.0,55.0,1.0,164.0,148.0,275.0,418.0,13.0,26.0,179.0,19.0,14.0,80.0,289.0,104.0,67.0,7.87,13.29,26.33,5.0,12.0,25.0,599.0,460.0,460.0,11.0,8.29,10.56,10.3,45.48,45.48,43.25
NYR,2024,NYR,NYR,Team Level,5on4,81,0.9,0.88,0.88,19638.0,340.71,45.08,30.06,73.77,11.58,206.8,104.71,40.69,45.08,40.69,302.0,170.0,158.0,630.0,35.0,41.0,6.0,73.0,0.0,185.0,138.0,267.0,437.0,10.0,20.0,200.0,21.0,23.0,70.0,334.0,78.0,60.0,9.36,9.54,26.18,6.0,5.0,24.0,630.0,472.0,472.0,9.0,7.85,9.0,8.82,44.11,44.11,41.34,50.77,5.22,2.46,7.09,1.53,15.55,35.14,5.12,5.22,5.12,50.0,17.0,18.0,85.0,7.0,4.0,1.0,1.0,0.0,12.0,43.0,43.0,60.0,5.0,10.0,164.0,42.0,16.0,40.0,47.0,15.0,5.0,1.47,1.9,1.85,4.0,2.0,1.0,85.0,67.0,67.0,37.0,0.56,1.31,1.3,4.48,4.48,4.48
OTT,2024,OTT,OTT,Team Level,other,81,0.5,0.5,0.5,13203.0,166.09,40.95,11.6,28.69,5.73,92.32,53.71,37.29,40.95,37.29,152.0,81.0,92.0,325.0,40.0,15.0,3.0,33.0,0.0,83.0,62.0,112.0,193.0,3.0,6.0,160.0,42.0,14.0,37.0,118.0,56.0,59.0,4.74,6.68,29.53,10.0,12.0,18.0,325.0,233.0,233.0,19.0,3.4,5.33,5.33,39.03,39.03,36.03,166.88,40.47,11.91,31.67,5.91,91.15,50.89,37.41,40.47,37.41,155.0,77.0,90.0,322.0,31.0,21.0,0.0,27.0,0.0,78.0,75.0,124.0,201.0,4.0,8.0,130.0,35.0,21.0,36.0,117.0,51.0,64.0,4.56,6.68,29.23,4.0,8.0,19.0,322.0,232.0,232.0,15.0,3.58,4.87,4.91,39.14,39.14,37.06
OTT,2024,OTT,OTT,Team Level,all,81,0.5,0.51,0.51,293735.0,2541.53,248.04,169.68,618.46,86.24,1389.02,987.56,236.92,249.1,237.94,2371.0,1128.0,1378.0,4877.0,235.0,248.0,34.0,490.0,6.0,1092.0,1428.0,2136.0,3264.0,291.0,636.0,2461.0,2084.0,394.0,1058.0,2586.0,629.0,284.0,71.96,77.29,98.79,84.0,78.0,73.0,4896.17,3499.0,3511.37,518.0,38.0,49.77,49.77,236.26,236.82,229.99,2462.46,252.55,165.02,598.0,83.46,1332.67,956.29,236.87,252.44,236.82,2314.0,1074.0,1375.0,4763.0,227.0,268.0,35.0,489.0,9.0,1035.0,1360.0,2087.0,3161.0,322.0,708.0,2171.0,1973.0,366.0,1215.0,2477.0,601.0,310.0,69.55,76.02,106.98,71.0,76.0,80.0,4754.57,3388.0,3384.34,592.0,37.06,55.54,55.54,234.07,233.92,224.73
OTT,2024,OTT,OTT,Team Level,5on5,81,0.5,0.5,0.5,234921.0,1947.42,156.59,121.73,501.38,66.29,1060.06,779.95,151.46,157.65,152.49,1805.0,881.0,1092.0,3778.0,136.0,186.0,24.0,384.0,6.0,816.0,1158.0,1669.0,2550.0,265.0,586.0,1835.0,1984.0,333.0,917.0,2079.0,438.0,169.0,56.22,54.52,45.85,59.0,45.0,32.0,3797.17,2686.0,2698.37,467.0,25.21,36.7,37.12,144.69,145.24,143.22,1903.83,157.02,119.85,488.4,65.24,1033.8,771.69,150.54,156.9,150.48,1786.0,850.0,1127.0,3763.0,153.0,205.0,29.0,386.0,6.0,783.0,1103.0,1633.0,2483.0,285.0,638.0,1684.0,1869.0,303.0,1066.0,2038.0,428.0,170.0,56.45,54.17,46.4,64.0,54.0,35.0,3754.57,2636.0,2632.34,529.0,24.86,40.71,41.18,140.7,140.55,137.89
OTT,2024,OTT,OTT,Team Level,4on5,81,0.1,0.13,0.15,21338.0,60.9,5.83,2.86,8.86,1.91,18.65,41.89,5.75,5.83,5.75,62.0,18.0,8.0,88.0,8.0,4.0,2.0,1.0,0.0,9.0,58.0,54.0,72.0,11.0,20.0,218.0,36.0,25.0,33.0,51.0,26.0,3.0,1.47,3.51,0.85,3.0,4.0,1.0,88.0,80.0,80.0,27.0,0.66,0.74,0.74,5.75,5.75,5.73,345.84,51.69,31.09,70.53,10.91,193.22,101.56,45.59,51.69,45.59,330.0,129.0,147.0,606.0,42.0,41.0,6.0,72.0,3.0,162.0,139.0,288.0,417.0,22.0,40.0,165.0,25.0,18.0,66.0,275.0,110.0,74.0,7.19,13.7,30.8,2.0,14.0,26.0,606.0,459.0,459.0,8.0,8.12,9.83,9.3,50.51,50.51,46.07
OTT,2024,OTT,OTT,Team Level,5on4,81,0.93,0.91,0.89,24273.0,367.12,44.67,33.48,79.54,12.31,217.99,112.02,42.41,44.67,42.41,352.0,148.0,186.0,686.0,51.0,43.0,5.0,72.0,0.0,184.0,150.0,301.0,449.0,12.0,24.0,248.0,22.0,22.0,71.0,338.0,109.0,53.0,9.54,12.57,22.56,12.0,17.0,22.0,686.0,500.0,500.0,5.0,8.72,7.0,6.58,46.81,46.81,45.01,45.9,3.37,2.17,7.39,1.4,14.51,32.16,3.33,3.37,3.33,43.0,18.0,11.0,72.0,1.0,1.0,0.0,4.0,0.0,12.0,43.0,42.0,60.0,11.0,22.0,192.0,44.0,24.0,47.0,47.0,12.0,2.0,1.35,1.47,0.56,1.0,0.0,0.0,72.0,61.0,61.0,40.0,0.49,0.14,0.14,3.73,3.73,3.7
